Job Title,Company,Location,Salary,Job Description,Job Link,Category
Retail Service Specialist,Automobile Club,Washington,Not specified,"Retail Service Specialist

We are seeking a motivated individual to provide exceptional service and sales experience to our members in a dynamic retail environment.

Responsibilities:
• Greet members and customers, determine their needs, and deliver legendary service.
• Meet and exceed sales and service goals for various AAA products and services.
• Prepare and provide travel-related materials, including TripTik routings, road maps, and tour books.
• Make hotel and car rental reservations, and offer travel destination information.
• Issue passport photos and process payments.
• Balance cash drawers and reconcile transactions.
• Perform additional duties as assigned by management.

Qualifications:
• Experience in retail sales, customer service, or banking.
• A proven track record of exceeding sales or service quality goals.
• Ability to work overtime, including Saturdays.
• Proficiency in Microsoft Office basics.
• Willingness to travel locally when necessary.
• A high school diploma or equivalent.
• Successful completion of pre-employment assessments, background check, and drug screening.

Benefits:
• Comprehensive medical, dental, vision, and life insurance.
• A 401(k) Savings plan with company match.
• Tuition assistance.
• PTO for community volunteer programs.
• A wellness program.
• Employee discounts on membership, insurance, travel, entertainment, services, and more.

At Automobile Club Enterprises, we value diversity and strive to create an inclusive workplace. With 14,000 employees across 21 states, serving 17 million members, our strength lies in our diverse team. We are committed to delivering legendary service and beneficial products that bring peace of mind and value to our members.

AAA is an Equal Opportunity Employer.",https://us.bebee.com/job/126d93b652e4242beb514d70e8c9e02b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
"Consultant, Dealership Management",National Automobile Dealers Association,Tysons,Not specified,"About the position

Join the dynamic team at the National Automobile Dealers Association (NADA) as a Dealership Management Consultant, where you will embark on an exhilarating journey to spearhead growth and excellence within the automotive industry. This full-time position is based out of your home office and offers a healthy work culture, competitive salary, and excellent benefits. As a Dealership Management Consultant, you will be responsible for facilitating and managing at least seven 20 Groups, conducting in-dealership consulting visits, and helping dealers improve their processes and profitability as requested. This role requires significant travel, comprising up to 75% of your time, making it essential for you to be adaptable and ready to engage with clients across various locations. In this position, you will create and prepare advanced meeting agendas for 20 Group sessions, present and lead discussions on the group's composite, and proficiently use the NADA online composite and digital analytics composite as management tools. You will act as the on-site meeting supervisor, ensuring alignment with contracts, and arrange and conduct in-dealership consultations. Continuous improvement is key, and you will be expected to develop and enhance your presentation techniques through ongoing skills training. Additionally, you will communicate NADA initiatives to group members, maintain scheduled communications, and create awareness of non-meeting consultant services available to dealers. Your role will also involve sustaining individual group membership levels through ongoing prospecting and recruitment efforts, as well as engaging and communicating across all Dealership Operations departments and respective leadership.

Responsibilities
• Facilitating and managing at least seven 20 Groups or equivalent assignments.
,
• Creating and preparing advanced meeting agendas for 20 Group sessions.
,
• Presenting and leading discussions on the group's composite.
,
• Proficiently using the NADA online composite as a management tool.
,
• Proficiently using the NADA digital analytics composite as a management tool.
,
• Acting as the on-site meeting supervisor, ensuring alignment with contracts.
,
• Arranging and conducting in-dealership consultations.
,
• Developing and enhancing presentation techniques through ongoing skills improvement training.
,
• Communicating NADA initiatives to group members.
,
• Maintaining scheduled communications with group members.
,
• Creating awareness of non-meeting consultant services available to dealers.
,
• Sustaining individual group membership levels through ongoing prospecting and recruitment efforts.
,
• Engaging and communicating across all Dealership Operations departments and respective leadership.

Requirements
• Bachelor's degree in a relevant field (such as Business Administration, Automotive Management, Sales, or a related discipline) OR equivalent amount of relevant training or experience required.
,
• Minimum of 8 years of retail automotive dealership experience required in a leadership role such as General Manager, Dealer Principal, Dealer Operator, Executive Manager, Operations Manager, Owner, COO, CEO or other senior leadership positions.
,
• Minimum 5 years of facilitating, consulting, or training experience required.
,
• Understanding of digital retail tools preferred.
,
• Strong business and financial management background essential.
,
• Experienced public speaker preferred.
,
• Extensive travel and home-based office required to execute role functions.

Nice-to-haves
• Understanding of digital retail tools preferred.
,
• Experienced public speaker preferred.

Benefits
• Competitive salary
,
• Excellent benefits
,
• Healthy work culture",https://www.tealhq.com/job/consultant-dealership-management_e7e3fcfc-f29b-49ac-b85d-2d5f6392cb0c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Painter Helper / Route Driver - Automotive Industry,ALLOY WHEEL REPAIR SPECIALISTS,Crofton,19 - 25 ,"Are you an auto enthusiast that enjoys working with your hands?

Do you enjoy problem solving and working with a team?

Alloy Wheel Repair Specialists is the world’s largest Full-Service Alloy Wheel Repair and Replacement Company. Our business consists of hundreds of professional, experienced, operators and technicians who provide expert wheel repair and replacement around the globe. AWRS currently operates in 47 states, over 17 countries, and is rapidly expanding its geographical footprint domestically and internationally to meet the growing demand for full-service alloy wheel repair services.

Our customer base includes OEMs, auto dealerships, collision shops, insurance companies, third party administrators, extended warranty providers, tire retailers, rental companies, auto auctions, and auto repair centers, and the general public. Learn more about us at awrswheelrepair.com

We are currently seeking dedicated team members as Painter’s Helpers and Route Drivers in Crofton, MD. This includes Tire Technicians, Wheel Refinish Tech Helpers, Powder Coater, and Metal Shop Helper. Experience with applying liquid coatings is strongly preferred.

AWRS is proud to offer:
• Pay range: $19 - $25 / hour
• Pay rate based on experience level
• Paid time off
• Growth opportunities – promotable positions
• Great working environment

We are seeking candidates that are driven, personable, self-motivated and have a desire for something more! If you love cars, can work with your hands, like to deal directly with the customer, and take pride in your work - you just might have what it takes to be a successful Service Technician. Past hires have been those with experience in auto painting, auto collision repair, dent techs, route drivers, and others within the auto industry.

Our training program will allow you to quickly expand on your experience to be able to service our customers beyond their expectations. We are not looking for just anybody, rather someone who is willing to combine their skills and entrepreneurial spirit to grow with us.

Job Responsibilities:
• Inspect wheels to be painted for repair, prepping and/or buffing defects
• Sand, mask, blend, and polish finish.
• Apply or retouch paint
• Perform other duties as assigned by manager or supervisor, i.e., provide technical assistance to helpers, orient and train new employees, etc.
• Jack up vehicles to remove and re-install wheels and tires.
• Must be able to lift 50+ lbs. regularly
• May be required to work overtime (more than 40 hours per week) as business needs dictate

Requirements:
• High School Diploma or GED
• Must be at least 22 years old
• Mechanical skills
• Auto painting experience preferred
• Self-starter and can work independently
• Great organizational and multi-tasking skills
• Excellent communication skills; must be able to sell our services
• Clean driving record

We firmly believe that our company is only as good as the people we employ. Join a company that values its employees and rewards them for a job well done!

If you are looking for an entry-level Painter’s Helper/Wheel Tech Helper or Route Driver opportunity with a growing company that “has it all”, APPLY today and be sure to attach a copy of your resume!

Job Type: Full-time

Pay: $19.00 - $25.00 per hour

Benefits:
• Paid time off

Schedule:
• 8 hour shift
• Monday to Friday

Work Location: In person",https://www.indeed.com/viewjob?jk=249d63386011bddf&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Automobile Center Store Associate,Sam's Club,Arlington,Not specified,"Position Summary

This role is for a Tire & Battery Center Technician who will provide safe and efficient service in the sales and service areas of the department, ensuring members receive more of what they love at a lower cost. The ideal candidate will work collaboratively with other associates to meet member expectations.
Key Responsibilities
• Provides exceptional member service by acknowledging members, identifying their needs, assisting with purchasing decisions, locating merchandise, resolving issues and concerns, and promoting company products and services.
• Maintains merchandise presentation by stocking merchandise, setting up displays, cleaning and organizing product displays, removing damaged goods, pricing merchandise accurately, and securing fragile and high-shrink merchandise.
• Maintains the Sales Floor in the Tire and Battery Center according to company policies and procedures by handling claims and returns, zoning the area, arranging and organizing merchandise, and identifying shrink and damages.
• Receives and stocks merchandise in the Tire and Battery Center, organizes and maintains the area by following company procedures, utilizing equipment properly, merchandising, and completing paperwork, logs, and other required documentation.
• Maintains safety of the Facility by following all safety standards, procedures, and guidelines, including conducting safety sweeps, following proper forklift spotting procedures, handling and disposing of hazardous materials, following company steel standard guidelines, and correcting/reporting unsafe situations to Management.
• Operates hardware such as cash registers or related equipment, processes member purchases, and assists in payments, returns, refunds, and exchanges using appropriate procedures for different membership and payment types.
• Provides products and services to Members in accordance with Company policies and procedures by assisting with purchasing and service decisions, completing vehicle service requests and tests, operating Tire and Battery Center equipment properly and safely, receiving, storing, and disposing of merchandise and supplies, and completing and maintaining paperwork.
• Maintains and services Members automobiles by driving cars into and out of bay area, identifying, notating, and informing Members of damage to their vehicles prior to servicing, following Company guidelines for tire installation, performing additional automotive services as needed (for example, repairing or replacing flats, balancing or rotating tires, and testing and installing batteries), and operating computer equipment when processing Member services.
Benefits

We offer competitive pay, performance-based bonus awards, and other great benefits for a happier mind, body, and wallet:
• Health Benefits: medical, vision, and dental coverage
• Financial Benefits: 401(k), stock purchase, and company-paid life insurance
• Paid Time Off Benefits: PTO, parental leave, family care leave, bereavement, jury duty, and voting; you'll also receive PTO and/or PPTO for vacation, sick leave, holidays, or other purposes
• Other Benefits: short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more
Education Benefits

LIVE BETTER U is our company-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities, offering programs from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart.
Eligibility and Compensation

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific plan or program terms. For information about benefits and eligibility, see One.Walmart at https://bit.ly/3iOOb1J.
Hourly Wage Range

The hourly wage range for this position is $18.00 to $25.00*, where *the actual hourly rate will equal or exceed the required minimum wage applicable to the job location.
Additional Compensation

In specific circumstances, additional compensation may be paid in amounts ranging from $0.35 per hour to $3.00 per hour in the form of premiums based on schedule, facility, season, or specific work performed.
Minimum Qualifications
• A valid state-issued driver's license.
• Able to successfully complete all job-required trainings and assessments within a prescribed time period if hired.
• Must be 18 years of age or older.
Preferred Qualifications
• Experience in the auto service industry or retail.
Primary Location

5555 S Buckner Blvd, Dallas, TX 75228-6101, United States of America",https://us.trabajo.org/job-2914-b42b40c2b3dec0391ab85a4eeed3a3e1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Auto Body Technician / Automobile Body Technician / Body Tech,Ourisman Chrysler Jeep Dodge Of Alexandria,Groveton,Not specified,"Ourisman Chrysler is looking for an experienced Auto Body Tech to join its service team!

DUTIES AND RESPONSIBILITIES MAY INCLUDE:
• Examine damaged vehicles and estimate repair costs.
• Remove upholstery, accessories, electrical and hydraulic window-and-seat-operating equipment, and trim to gain access to vehicle body and fenders.
• Fill depressions with body filler.
• Remove damaged fenders, panels
• Bolt or weld replacement parts in position, using wrenches or welding equipment.
• Straighten bent automobile frames.
• File, grind and sand repaired surfaces.
• Refinish repaired surface.
• Aim headlights, align wheels, and bleed hydraulic brake system.
• Paint surfaces after performing body repairs.
• Repair or replace defective mechanical parts

About the Company:
Ourisman Chrysler Jeep Dodge Of Alexandria",https://www.monster.com/job-openings/auto-body-technician-automobile-body-technician-body-tech-alexandria-va--8a860ff3-ebee-4082-b098-c9f96dd8a0cf?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
"Director, Automobile Industry Focus",FTI Consulting,Washington,Not specified,"About FTI Consulting

FTI Consulting, Inc. is a global business advisory firm dedicated to helping organizations manage change, mitigate risk and resolve disputes: financial, legal, operational, political & regulatory, reputational and transactional. With more than 4,600 employees located in 28 countries, FTI Consulting professionals work closely with clients to anticipate, illuminate and overcome complex business challenges and make the most of opportunities. The Company generated $1.81 billion in revenues during fiscal year 2017. For more information, visit www.fticonsulting.com and connect with us on Twitter (@FTIConsulting) , Facebook and LinkedIn .

FTI Consulting continually strives to offer employees and eligible dependents, including domestic partners and eligible domestic partner children, a competitive and comprehensive benefits package. Please click here for more information.

FTI Consulting does not accept unsolicited resumes from external firms or agencies. FTI Consulting will not be responsible for placement fees associated with unsolicited resumes.

FTI Consulting is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.

About Corporate Finance & Restructuring

Our Corporate Finance and Restructuring practice, a trusted partner to companies, boards of directors, investors, lenders and creditors around the world, is focused on delivering restructuring and business transformation solutions. Committed to our clients' success, our professionals address the full spectrum of financial, operational and transactional risks and opportunities. Among our core strengths is providing expertise in guiding companies through the value creation lifecycle. Our targeted offerings include restructuring, insolvency, litigation support, interim management, capital market advisory, post-acquisition integration, valuation, tax advisory as well as financial management and performance improvement solutions. Our clients demand our industry expertise, which includes emphasis in the energy, healthcare, real estate, retail and consumer products, and telecom, media and technology sectors. Our Corporate Finance & Restructuring services are delivered through a global network of 41 offices in 15 countries situated in Asia, Australia, Europe, Latin America and North America.

A Director provides operational and financial related consulting services primarily in the Corporate Finance practice areas as required. This practice provides services primarily in the following areas:
• Performance Improvement
• Interim Management;
• Merger Integration;
• Litigation Support;
• Company-side/Equity-sponsor advisory;
• Creditor Advisory; and
• Lender Advisory;

PRIMARY DUTIES:
• Apply manufacturing, supply chain, and procurement expertise to traditional bankruptcy, turnaround, expert witness and merger integration engagements.
• Responsible for day to day activities of project including interaction with other team members, professionals from other firms involved in the engagement and client personnel. May include supervision of client personnel.
• Apply Six Sigma, Lean, and similar methods to provide operational recommendations and detailed implementation plans.
• Lead client teams in developing operational plans and identifying synergies during merger / transition planning.
• Apply business, accounting, finance and analytical skills to various client situations and practice disciplines (e.g., financial modeling, ratio and comparable company analysis, review/analysis of financial statements and projections, assessing business plans, claims, conducting due diligence on balance sheet and profit and loss statement items, etc.).
• Prepare complex cash flow projections and worksheets to model business processes and/or actual or hypothetical transactions.
• Maintain detailed working paper records reflecting assumptions, methodologies and sources of information employed during the performance of all analytical tasks.
• Work to ensure a quality product, as well as delivery of all work within established timeframes.
• Prepare draft written analyses and other reports for third parties, as necessary, on the project scope, findings and/or results of activities.
• Prepare PowerPoint presentations and quantitative exhibits for third parties, as necessary, on the project scope, findings and/or results of activities.
• Research and organize information to facilitate effective data access and analysis.
• Maintain professional image within the company and project same to those outside the company.

BASIC QUALIFICATIONS:
• Bachelor's Degree
• 6 years relevant experience.
• Experience in Six Sigma and/or a manufacturing environment
• Proficiency with PC environment and related software, including Microsoft Office applications.
• Proficient use and analysis of computer models and development of dynamic spreadsheet applications.

PREFFERED SKILLS:
• Excellent communication (written and verbal), mathematical and organizational skills
• Ability to interface with team members and client personnel in demanding, deadline-driven situations
• Effective interpersonal communications, including active listening.
• Ability to work independently in fast-paced, multi-task environment; willingness to research, analyze and develop new skills.
• Flexibility with respect to assigned tasks and engagements. The ideal candidate should be able to move between operational and financial engagements.
• Six sigma, Lean, or CPIM certifications preferred.
• Experience outsourcing manufacturing to emerging markets is a plus.
• General knowledge of corporate finance, supply chain, and manufacturing principles and terminology.
• Experience in manufacturing leadership roles would be helpful.
• Ability to travel 80%
• MBA.

POSITION CLASSIFICATION: Exempt

FTI Consulting is an Equal Opportunity Employer

#LI-LL1",https://onmogul.com/jobs/director-automobile-industry-focus?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Automobile Service Associate,beBee Careers,Hyattsville,Not specified,"Automobile Service Professional

Job Overview:

This role involves providing safe and efficient service in both sales and service areas, delivering excellent member experiences. You will collaborate with other associates to ensure the club meets members' expectations.

Main Responsibilities:
• Team Collaboration: Work closely with team members to fulfill sales and service requests, educating others on tools, tasks, resources, and mentoring new technicians.
• Tire and Battery Expertise: Demonstrate knowledge of safety and compliance protocols, tire and battery industry guidelines, service standards, equipment operations, TPMS, product specifications, and seasonality.
• Digital Innovation: Leverage digital tools to plan for and drive sales, improve the service experience, and elevate associate engagement.
• Equipment Maintenance: Communicate equipment, tools, and supplies needs to management, tracking and monitoring returns and special orders.
• Quality Ambassador: Be a brand advocate by valuing the member's experience and modeling high-quality service and products.
• Compliance: Comply with company policies, procedures, and standards of ethics and integrity.
• Work Assignments: Complete work assignments and priorities using policies, data, and resources.",https://us.bebee.com/job/a0695670e84c141630588c21247b3cf4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Automotive Senior Technician,"Bridgestone Americas, Inc.",Hyattsville,22.3 - 32.87 ,"Company Overview

Bridgestone Retail Operations (BSRO) is part of Bridgestone Americas and employs over 22,000 teammates in North America. BSRO operates more than 2,200 company-owned stores, including Firestone Complete Auto Care, Tires Plus and Wheel Works locations. With locations across North America and more than $3 billion in tire and auto service sales, Bridgestone Retail Operations is the right place to build a career.

Whatever role you fill, when you represent the Bridgestone name, you are a valued teammate, and part of our larger mission to ""Serve Society with Superior Quality."" We start by offering each teammate more than just competitive pay. We provide formal training, performance incentives, paid vacation and holidays, competitive healthcare packages for full-time and part-time employees, and a 401k plan to help build towards your future.

We believe people can only provide superior service and quality to others when they are allowed to bring their whole self to work and know they are supported. We believe in championing all perspectives, individuals and teams because we understand the importance of seeing the world and our business through many different lenses. We are building a team as diverse as the world we serve. So, show us what you're made of. Show us the smart stuff, the tough stuff, the bold, beautiful and brave stuff. Because who you are is what we need.

Job Category

Retail

Position Summary

The Senior Technician position requires your talent and technical expertise to diagnose drivability and electrical systems, while using your leadership and mentoring skills in driving a team toward increased customer care and satisfaction.

Pay Range: $22.30 - $32.87

Our technicians enjoy a performance-based compensation model known as flat-rate pay. This system rewards our skilled professionals with a predetermined amount for each eligible task, fostering a culture of efficiency and swift task accomplishment, ensuring you're fairly rewarded for your expertise and dedication. These rates reflect average productivity by region.

Responsibilities
• Diagnose and repair to specifications - brake and hydraulic, exhaust, primary and/or advanced fuel ignition and electrical, suspension and alignment, air conditioning and computer systems.
• Adequately explain technical diagnoses and needed repairs to non-mechanical individuals.
• Stay current with rapidly changing automotive technology through continuous paid formal training.
• Assist and train technicians/mechanics in performing technical activities.
• Obtain or maintain A.S.E. certifications in at least three of A1 - A8 within first two years of employment (Tests and registrations fees are paid for by company pass or fail. Technicians receive bonus for each test passed)

Minimum Qualifications
• Must have a valid automobile driver's license at all times and be able to drive customer and company vehicles.
• Demonstrated skill in brakes and hydraulics systems and/or steering & suspension and alignments
• Skilled in general automotive maintenance & tire repair
• Current federal, state and local certification/license where applicable.
• Ability to communicate technical information to non-technical people.
• Reading, writing and math skills.

Preferred Qualifications
• 3 years of automotive repair experience, demonstrated skills via third party assessments/certifications, or completion of Vocational-Technical School Program
• A.S.E. certification in at least one of A1-A8 (L1 certification acceptable)

OUR CREW KNOWS BENEFITS
• Medical, Dental and Vision - Starting day 1 for all our teammates
• Paid vacation and holidays
• On-the-job training and company-funded ASE certifications
• Tuition reimbursement program
• Flexible work schedule
• 401(k) match
• On demand pay (daily pay) program available

OUR VALUES GIVE BACK TO YOU
• Professional Development: No matter where you're at in your career, we've got the resources to help you level up.
• Community Involvement: We pride ourselves on working with our local communities and giving back where we can.
• Integrity & Teamwork: Part of what makes our teams different is our drive to do things right, always, together.

Bridgestone is proud to be an Equal Employment Opportunity / Affirmative Action employer. It is our policy to consider for employment all individuals regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, gender, sex, sexual orientation, gender identity and/or expression, genetic information, veteran status, or any other characteristic protected by federal, state or local law.

Employment Eligibility

If hired, a Form I-9 Employment Eligibility Verification must be completed at the start of employment. Temporary work authorization or the need for sponsorship may disqualify you from employment.","https://www.ziprecruiter.com/c/Bridgestone-Americas,-Inc./Job/Automotive-Senior-Technician/-in-Hyattsville,MD?jid=1de0ffa3d2af2fb1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",automobile
Automotive Industry Relations Director,NADA,Vienna,130099 - 195148 ,"NADA is searching for an experienced and dynamic individual to join our team as an Industry Relations Director. The Industry Relations Director serves as a key representative of NADA and ATD (American Truck Dealers) within the broader automotive community, working to foster collaboration, advocate for industry interests, and promote the growth and success of the sector. This role involves working with both light, medium and heavy duty and commercial vehicle manufacturers.
This is a full-time position with a healthy work culture, competitive salary, and excellent benefits. Duties require significant travel, comprising 30% of the role at times.

The key responsibilities of the Industry Relations Director include:

Effectively represent NADA and ATD Dealer-members' perspectives to automotive manufacturers and key stakeholders by:
• Presenting Industry Relations positions and perspectives at various events while actively participating in industry related conferences, seminars, and networking events to stay informed about industry trends and developments.
• Collaborating with NADA departments for additional research and analysis.
• Monitoring industry developments from multiple sources (trade press, public media, direct dealer contact, NADA & ATD Committee activities, trade shows, and manufacturer contacts).
• Analyzing dealers' views on industry developments and manufacturers' policies via the NADA & ATD Dealer Attitude Survey, and ATD Supplier Survey.

Build strong relationships with OEMs and industry stakeholders by:
• Engaging with state dealer associations, government entities, third-party vendors, Industry Relations dealer committee members and addressing member concerns promptly.
• Assisting dealers and dealer councils in issue analysis and in developing resolutions, supported by relevant data and resources.
• Partnering with dealers and dealer councils in issue development by providing relevant support data and NADA resources.

Required Job Qualifications:
• Bachelor's degree in Business Administration, Economics, Automotive Management or related field OR equivalent amount of relevant training or experience required.
• Minimum 10 years of experience in the retail and/or wholesale automotive industry, with a proven track record of leadership and success required.
• Excellent written and verbal communication skills, with the ability to articulate complex ideas clearly and concisely to diverse audiences. Experience and strength in delivering presentations at industry events, conferences, or executive meetings required.
• Direct experience working with dealers, industry associations, or similar organizations highly desirable.
• Working knowledge of the retail automobile industry, including dealership operations, franchise issues, manufacturer-dealer relationships, and emerging trends.
• Working knowledge of the medium, heavy, commercial vehicle industry, including dealership operations, franchise issues, manufacturer-dealer relationships, and emerging trends.
• Strong analytical abilities with the capacity to interpret complex data sets, industry reports, and market trends. Experience analyzing survey results, and generating actionable insights.
• Success in creating and maintaining productive business relationships.
• Proficiency in Microsoft Office suite (Word, Excel, PowerPoint, Outlook) and other relevant software applications.
• Willingness and ability to travel as needed, up to 30% of the time during key industry times of the year.

If you are a seasoned automotive professional with a passion for the retail auto industry and the challenge of making one of the world's great industries more competitive, more efficient, and fairer, we invite you to apply for this exciting opportunity.

To be considered further, please submit a resume and a cover letter detailing the unique strengths and talents you would bring to this position.

The position will remain open until filled. We are unable to sponsor or take over sponsorship of an employment Visa.

NADA is fundamentally committed to the diversity of our staff. We believe diversity is excellence expressing itself through every person's perspective and lived experiences. All qualified applicants will receive consideration for employment without regard to age, color, disability, gender identity or expression, marital status, national or ethnic origin, political affiliation, race, religion, sex (including pregnancy and lactation), sexual orientation, military status, veteran status, and family medical or genetic information or any other protected class under federal, state, or local law.",https://www.theladders.com/job/automotive-industry-relations-director-nada-vienna-va_75465716?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Automotive Maintenance Technician,Bridgestone Corporation,Alexandria,Not specified,"About the position

As an Automotive Maintenance Technician at Bridgestone Retail Operations, you will embark on an exciting career path within the automotive service industry. This entry-level position is designed for individuals eager to learn and grow in a supportive environment. You will be an integral part of a dedicated team responsible for servicing a variety of vehicles, ensuring they are safe and performing optimally. Your journey begins with hands-on training, where you will learn to diagnose and repair basic automotive issues, including brakes, alignments, suspensions, cooling systems, and electrical components. This role is not just about fixing cars; it's about building a career with a company that values your contributions and supports your professional development. From day one, you will have access to a range of benefits that enhance your work experience and personal growth. Bridgestone Retail Operations is committed to providing you with the tools and resources necessary to succeed. You will receive on-the-job training and have the opportunity to earn company-funded ASE certifications, which will further your skills and knowledge in the automotive field. Additionally, you will be part of a culture that emphasizes integrity, teamwork, and community involvement, making your work environment not only productive but also fulfilling. In this role, you will also be responsible for performing essential maintenance tasks such as changing oil and transmission fluid, installing batteries, shock absorbers, and exhaust systems, as well as conducting road tests on vehicles. Your ability to learn and adapt will be crucial as you take on these responsibilities and contribute to the overall success of the team. With a valid driver's license, you will be able to drive both customer and company vehicles, ensuring that you are fully engaged in the service process.

Responsibilities
• Learn how to diagnose and repair basic automotive issues including brakes, alignments, suspensions, cooling, and electrical systems.
,
• Change oil and/or transmission fluid and filters.
,
• Install and perform tire maintenance.
,
• Install batteries, shock absorbers, exhaust systems, and check electrical systems.
,
• Road test vehicles to ensure proper functioning.
,
• Demonstrate the ability to learn basic mechanical tasks.
,
• Maintain a valid automobile driver's license and be able to drive customer and company vehicles.

Requirements
• Experience in the automotive service industry preferred.
,
• Basic reading, writing, and math skills are necessary.
,
• A valid automobile driver's license is required.

Nice-to-haves

Benefits
• Health benefits that start on day one of employment for all full-time teammates.
,
• Paid vacation and holidays.
,
• On-the-job training and company-funded ASE certifications.
,
• Tuition reimbursement program.
,
• 401(k) match.
,
• Vision and Dental Coverage.
,
• On-demand pay (daily pay) program available.",https://www.tealhq.com/job/automotive-maintenance-technician_504bdc3c-7a92-4f17-8e6d-0c2ada5fb0c3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
Honda Automobile Sales Associate,Honda of Annapolis,Annapolis,40000 - 65000 ,"Job description

We are in need of 4 more fulltime sales people. Prior/current autombile sales experience desired, nut not necessary. We will work with those with relatable sales experience, ie: Cell Phone, Jewelry and Bartenders/Wait staff. We offer a 5 day work week, draw / commission and volume bonus. Must be over the age of 21, able to pass both a criminal background and drug screening and possess a valid Driver's License for a minimum of three (3) years, clean driving record, no open tickets, no points. Looking for a person that has the ability to communicate well with any age client. Self starter. Bilingual a plus! Strong management support - if you don't succeed we don't succeed.

New Hire bonus: After 3 months

Benefit Conditions:
• Waiting period may apply
• Only full-time employees eligible

This Company Describes Its Culture as:
• Detail-oriented -- quality and precision-focused
• People-oriented -- supportive and fairness-focused
• Team-oriented -- cooperative and collaborative

Pay Frequency:
• Bi weekly or Twice monthly

Work Includes
• Evenings
• Weekends
• Holidays (Closed Thanksgiving, Christmas and New Years Day and Sundays)

Paid Training:
• Yes

Pay frequency:
• Every other week

Management:
• Store Managers

Shifts announced:
• Schedule published monthly

Shift:
• Store hours: Mon - Fri 9am to 8pm. Sat 9am - 6pm
• Closed Sundays

Employees working per shift:
• 4 - 6

Work Remotely
• No

Job Type: Full-time

Salary: $40,000.00 - $60,000.00 per year

Benefits:
• 401(k)
• Health insurance

Supplemental pay types:
• Bonus pay
• Commission pay

Work Location: One location

Job Type: Full-time

Pay: $40,000.00 - $65,000.00 per year

Benefits:
• 401(k)
• Dental insurance
• Health insurance
• Paid time off
• Vision insurance

Schedule:
• Day shift
• Monday to Friday
• Night shift
• Weekends as needed

Supplemental Pay:
• Bonus opportunities
• Commission pay

Ability to commute/relocate:
• Annapolis, MD 21401: Reliably commute or planning to relocate before starting work (Required)

Experience:
• Sales: 1 year (Preferred)

Work Location: In person",https://www.indeed.com/viewjob?jk=936d2cd5df8264d5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,automobile
